"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
E04,UNIV. ANNABA,CF1LPL02,"MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUXSCIENCES ECONOMIQUES ET DE GESTION",12.51,13.13,nan
E04,UNIV. ANNABA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.03,10.26,nan
E04,UNIV. ANNABA,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.03,10.06,nan
E04,UNIV. ANNABA,E03LAL01,GEOLOGIE,10.28,11.50,nan
E04,UNIV. ANNABA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.71,11.78
E04,UNIV. ANNABA,F01FPN01,"SCIENCES DE GESTION (FORMATIONSPROFESSIONNALISANTES)",13.25,14.44,--
E04,UNIV. ANNABA,G01LAL01,SCIENCES POLITIQUES,10.0,10.18,10.93
E04,UNIV. ANNABA,G02LAL01,DROIT,10.39,11.12,12.94
E04,UNIV. ANNABA,H01LAL01,LANGUE FRANCAISE,11.0,11.01,11.00
E04,UNIV. ANNABA,H03IAL04,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ANGLAIS)",13.0,nan,nan
E04,UNIV. ANNABA,H06LAL01,LANGUE ANGLAISE,11.85,12.69,13.50
E04,UNIV. ANNABA,H07LAL01,LANGUE ITALIENNE,12.2,13.06,13.93
E04,UNIV. ANNABA,I17LAL01,SCIENCES HUMAINES,10.0,10.03,nan
E04,UNIV. ANNABA,I19LAL01,SCIENCES SOCIALES,10.37,11.10,nan
E04,UNIV. ANNABA,J00LAL02,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",12.09,nan,nan
E04,UNIV. ANNABA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.1,10.83,nan
E04,UNIV. ANNABA,N05IAL01,ARCHITECTURE,13.36,nan,nan
E04,UNIV. ANNABA,PC0LAN01,MEDECINE + INFORMATIQUE,17.59,--,nan
Z30,CENTRE DE FORMATION CONTINUE GUELMA,F00FCL01,"SCIENCES ECONOMIQUES DE GESTION ET SCIENCESCOMMERCIALES (FORMATION CONTINUE)",10.41,10.24,10.61
Z30,CENTRE DE FORMATION CONTINUE GUELMA,G02FCL01,DROIT (FORMATION CONTINUE),10.4,12.02,--
